2024-07-27 00:00:00, 2024-07-27 02:00:00, Boss Beatdown 1
2024-07-27 02:00:00, 2024-07-27 04:00:00, Proving Grounds 1
2024-07-27 04:00:00, 2024-07-27 06:00:00, Level Liquidator 1
2024-07-27 06:00:00, 2024-07-27 08:00:00, Grail Hunter 1
2024-07-27 08:00:00, 2024-07-27 10:00:00, Infestation 1
2024-07-27 10:00:00, 2024-07-27 12:00:00, Mystery Mash 1
2024-07-27 12:00:00, 2024-07-27 14:00:00, Proving Grounds 2
2024-07-27 14:00:00, 2024-07-27 16:00:00, Boss Beatdown 2
2024-07-27 16:00:00, 2024-07-27 18:00:00, Mystery Mash 2
2024-07-27 18:00:00, 2024-07-27 20:00:00, Level Liquidator 2
2024-07-27 20:00:00, 2024-07-27 22:00:00, Grail Hunter 2
2024-07-27 22:00:00, 2024-07-28 00:00:00, Infestation 2
2024-07-28 00:00:00, 2024-07-28 02:00:00, Level Liquidator 3
2024-07-28 02:00:00, 2024-07-28 04:00:00, Proving Grounds 3
2024-07-28 04:00:00, 2024-07-28 06:00:00, Boss Beatdown 3
2024-07-28 06:00:00, 2024-07-28 08:00:00, Grail Hunter 3
2024-07-28 08:00:00, 2024-07-28 10:00:00, Mystery Mash 3
2024-07-28 10:00:00, 2024-07-28 12:00:00, Infestation 3
2024-07-28 12:00:00, 2024-07-28 14:00:00, Boss Beatdown 4
2024-07-28 14:00:00, 2024-07-28 16:00:00, Grail Hunter 4
2024-07-28 16:00:00, 2024-07-28 18:00:00, Proving Grounds 4
2024-07-28 18:00:00, 2024-07-28 20:00:00, Infestation 4
2024-07-28 20:00:00, 2024-07-28 22:00:00, Level Liquidator 4
2024-07-28 22:00:00, 2024-07-29 00:00:00, Mystery Mash 4
